name,online_order,book_table,rate,votes,rest_type,cuisines,cost2plates,type,location
Mini Punjabi Dhaba,Yes,No,4,287,Quick Bites,North Indian,350,Delivery,Banashankari
Mulabagilu Dosa,Yes,No,3,11,Quick Bites,South Indian,100,Delivery,Banashankari
Gokul Veg,Yes,No,3,469,Casual Dining,others,750,Delivery,Banashankari
Olive - Era,Yes,No,3,511,Casual Dining,others,550,Delivery,Banashankari
Udupi Ruchi,Yes,No,3,57,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery,Banashankari
Madhappa Hindu Military Hotel,Yes,No,3,14,Quick Bites,South Indian,300,Delivery,Banashankari
Gama Gama,Yes,No,3,264,Quick Bites,South Indian,200,Delivery,Banashankari
The Vintage Cafe,Yes,No,3,62,Cafe,others,400,Delivery,Banashankari
Pizza Hut,Yes,No,3,693,Casual Dining,"Pizza, Fast Food",750,Delivery,Banashankari
Mangalore Pearl,Yes,No,3,242,Casual Dining,others,650,Delivery,Banashankari
Asha Sweets Centre,Yes,No,3,27,Dessert Parlor,Fast Food,250,Delivery,Banashankari
Twiststick House,Yes,No,4,163,Quick Bites,others,500,Delivery,Banashankari
Cool Corner,Yes,No,4,191,Quick Bites,others,250,Delivery,Banashankari
Pizza Mane,Yes,No,3,32,Quick Bites,others,150,Delivery,Banashankari
Dal Tadkaa,Yes,No,2,247,Casual Dining,North Indian,500,Delivery,Banashankari
Chutney Chang,Yes,Yes,4,2339,Casual Dining,others,1500,Delivery,Banashankari
Mystique Palate,Yes,No,4,337,Quick Bites,others,300,Delivery,Banashankari
Thamboola,Yes,No,3,135,Casual Dining,"North Indian, Chinese, Continental",800,Delivery,Banashankari
Castle Rock,Yes,No,3,172,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
Vietnamese Kitchen,Yes,No,3,105,Casual Dining,others,700,Delivery,Banashankari
Smacznego,Yes,No,4,504,Cafe,others,550,Delivery,Banashankari
C Corner,Yes,No,3,36,Quick Bites,others,200,Delivery,Banashankari
Paratha Merchant,Yes,No,3,39,Quick Bites,North Indian,300,Delivery,Banashankari
North Rasoe,Yes,No,3,5,Casual Dining,others,500,Delivery,Banashankari
